" Finally, a Show that stays true to it's written roots",9.0
 Excellent adaptation.,10.0
 One of the most stunning shows on television,10.0
 Lord of the Rings - I think not!,10.0
 Fantasy has never seemed so real,10.0
" Excellent, Raw, Brutal and to the point",10.0
 This TV series is magnificent!,10.0
 Fantastic! The scale was amazing and it stayed loyal to the books!,10.0
 Fresh and Exciting,10.0
 This one will blow you away!,10.0
 GOT ruined TV for me!,10.0
 Really Surprised!,9.0
" Fantasy at its finest, for adults!",10.0
 Hater's Beware- For the new viewer,10.0
 Absolutely Fantastic,10.0
 Heads up for GAME OF THRONES,10.0
 Wow,10.0
 Absolutely amazing,10.0
" And so, the story begins",10.0
 Definitely a keeper!,10.0
 Masterful Cinema,10.0
 HBO bags another winner,10.0
" As expected, some will love it, some will hate it",10.0
 Best show ever!,10.0
 OMG! What a Fab show!,10.0
 One of the Top 5 Best TV Shows EVER. Period.,10.0
 LOVED IT! A Series steeped in Passion,10.0
 Worth the hype,10.0
 Masterpiece,10.0
 An unexpected masterpiece,10.0
 GREATEST TV SHOW of all time....The best 50 minutes of TV,10.0
 An epic tale,10.0
 TV par excellence,10.0
 Brought tears to my eyes,10.0
  There's no shield surfing here!,10.0
 Well worth the hype,8.0
 Possibly the worst storyline I will ever encounter...,8.0
" Excellent adaptation of an amazing book, with some notable flaws",8.0
 It made me go out and buy the books!,9.0
" Top 6 Reasons to Watch ""Game of Thrones""!",10.0
 A 10 for Balance,10.0
 Perhaps the most overrated show to ever exist,1.0
 On finding Game of Thrones on VHS,9.0
 Unbelievably awful,1.0
 Last Season,10.0
 I can't understand the popularity of this series.,8.0
 Superb,9.0
 The shark has been jumped.,1.0
" So, that Videodrome film was right...",1.0
" if its too confronting, watch something else",10.0
 Series without any ethics and with nothing good to feel about,1.0
 Had enough of sadistic violence.,1.0
 A Game that never ends / gets to the point,1.0
 Game of sellouts.,5.0
" disgusting, overrated, pointless",1.0
 Game of Thrones - king of all TV dramas in current production...,10.0
" Yes, folks, it's falling apart. Season 5-7.",1.0
 A Plebe Show:,1.0
 Booooring,1.0
 The Game is Losing its Throne,7.0
 The Art of the Cliffhanger,6.0
 swimming in the sewer,1.0
 Absolutely Brilliant!,10.0
 HBO came back again with excellent TV Show,10.0
 Misogynistic Snuff Gorefest Showcasing GOT Creator's Anger Issue & Tiny Little Imagination,1.0
 Most Overrated Show in History,3.0
" True to the Book, Excellent, a Must See",10.0
 The Bad Guys Always Win,1.0
" Like a lot, but not love...",6.0
" Incredible, one of the best works of modern fantasy fiction",10.0
 IT Doesn't get better than this,10.0
 Unbelievably Good,10.0
" Overrated, boring, confusing nonsense",1.0
 Booooooooorrring!,1.0
" Will this be another show HBO gets me hooked, before unceromoniously dumping it for inexplicable reasons?",9.0
